Make;Model;Type;Origin;Cost;HP;MPG2;MPG1;Wg;OriginQuanti
Acura; MDX;SUV;Asia;36945;265;17;23;4451;2
Acura; RSX Type S 2dr;Sedan;Asia;23820;200;24;31;2778;2
Acura; TSX 4dr;Sedan;Asia;26990;200;22;29;3230;2
Acura; TL 4dr;Sedan;Asia;33195;270;20;28;3575;2
Acura; 3.5 RL 4dr;Sedan;Asia;43755;225;18;24;3880;2
Acura; 3.5 RL w/Navigation 4dr;Sedan;Asia;46100;225;18;24;3893;2
Acura; NSX coupe 2dr manual S;Sports;Asia;89765;290;17;24;3153;2
Audi; A4 1.8T 4dr;Sedan;Europe;25940;170;22;31;3252;1
Audi; A41.8T convertible 2dr;Sedan;Europe;35940;170;23;30;3638;1
Audi; A4 3.0 4dr;Sedan;Europe;31840;220;20;28;3462;1
Audi; A4 3.0 Quattro 4dr manual;Sedan;Europe;33430;220;17;26;3583;1
Audi; A4 3.0 Quattro 4dr auto;Sedan;Europe;34480;220;18;25;3627;1
Audi; A6 3.0 4dr;Sedan;Europe;36640;220;20;27;3561;1
Audi; A6 3.0 Quattro 4dr;Sedan;Europe;39640;220;18;25;3880;1
Audi; A4 3.0 convertible 2dr;Sedan;Europe;42490;220;20;27;3814;1
Audi; A4 3.0 Quattro convertible 2dr;Sedan;Europe;44240;220;18;25;4013;1
Audi; A6 2.7 Turbo Quattro 4dr;Sedan;Europe;42840;250;18;25;3836;1
Audi; A6 4.2 Quattro 4dr;Sedan;Europe;49690;300;17;24;4024;1
Audi; A8 L Quattro 4dr;Sedan;Europe;69190;330;17;24;4399;1
Audi; S4 Quattro 4dr;Sedan;Europe;48040;340;14;20;3825;1
Audi; RS 6 4dr;Sports;Europe;84600;450;15;22;4024;1
Audi; TT 1.8 convertible 2dr (coupe);Sports;Europe;35940;180;20;28;3131;1
Audi; TT 1.8 Quattro 2dr (convertible);Sports;Europe;37390;225;20;28;2921;1
Audi; TT 3.2 coupe 2dr (convertible);Sports;Europe;40590;250;21;29;3351;1
Audi; A6 3.0 Avant Quattro;Wagon;Europe;40840;220;18;25;4035;1
Audi; S4 Avant Quattro;Wagon;Europe;49090;340;15;21;3936;1
BMW; X3 3.0i;SUV;Europe;37000;225;16;23;4023;1
BMW; X5 4.4i;SUV;Europe;52195;325;16;22;4824;1
BMW; 325i 4dr;Sedan;Europe;28495;184;20;29;3219;1
BMW; 325Ci 2dr;Sedan;Europe;30795;184;20;29;3197;1
BMW; 325Ci convertible 2dr;Sedan;Europe;37995;184;19;27;3560;1
BMW; 325xi 4dr;Sedan;Europe;30245;184;19;27;3461;1
BMW; 330i 4dr;Sedan;Europe;35495;225;20;30;3285;1
BMW; 330Ci 2dr;Sedan;Europe;36995;225;20;30;3285;1
BMW; 330xi 4dr;Sedan;Europe;37245;225;20;29;3483;1
BMW; 525i 4dr;Sedan;Europe;39995;184;19;28;3428;1
BMW; 330Ci convertible 2dr;Sedan;Europe;44295;225;19;28;3616;1
BMW; 530i 4dr;Sedan;Europe;44995;225;20;30;3472;1
BMW; 545iA 4dr;Sedan;Europe;54995;325;18;26;3814;1
BMW; 745i 4dr;Sedan;Europe;69195;325;18;26;4376;1
BMW; 745Li 4dr;Sedan;Europe;73195;325;18;26;4464;1
BMW; M3 coupe 2dr;Sports;Europe;48195;333;16;24;3415;1
BMW; M3 convertible 2dr;Sports;Europe;56595;333;16;23;3781;1
BMW; Z4 convertible 2.5i 2dr;Sports;Europe;33895;184;20;28;2932;1
BMW; Z4 convertible 3.0i 2dr;Sports;Europe;41045;225;21;29;2998;1
BMW; 325xi Sport;Wagon;Europe;32845;184;19;26;3594;1
Buick; Rainier;SUV;USA;37895;275;15;21;4600;3
Buick; Rendezvous CX;SUV;USA;26545;185;19;26;4024;3
Buick; Century Custom 4dr;Sedan;USA;22180;175;20;30;3353;3
Buick; LeSabre Custom 4dr;Sedan;USA;26470;205;20;29;3567;3
Buick; Regal LS 4dr;Sedan;USA;24895;200;20;30;3461;3
Buick; Regal GS 4dr;Sedan;USA;28345;240;18;28;3536;3
Buick; LeSabre Limited 4dr;Sedan;USA;32245;205;20;29;3591;3
Buick; Park Avenue 4dr;Sedan;USA;35545;205;20;29;3778;3
Buick; Park Avenue Ultra 4dr;Sedan;USA;40720;240;18;28;3909;3
Cadillac; Escalade;SUV;USA;52795;295;14;18;5367;3
Cadillac; SRX V8;SUV;USA;46995;320;16;21;4302;3
Cadillac; CTS VVT 4dr;Sedan;USA;30835;255;18;25;3694;3
Cadillac; Deville 4dr;Sedan;USA;45445;275;18;26;3984;3
Cadillac; Deville DTS 4dr;Sedan;USA;50595;300;18;26;4044;3
Cadillac; Seville SLS 4dr;Sedan;USA;47955;275;18;26;3992;3
Cadillac; XLR convertible 2dr;Sports;USA;76200;320;17;25;3647;3
