Make;Model;Type;Origin;Cost;HP;MPG2;MPG1;Wg
Audi; A4 1.8T 4dr;Sedan;Europe;25940;170;22;31;3252
Audi; A41.8T convertible 2dr;Sedan;Europe;35940;170;23;30;3638
Audi; A4 3.0 4dr;Sedan;Europe;31840;220;20;28;3462
Audi; A4 3.0 Quattro 4dr manual;Sedan;Europe;33430;220;17;26;3583
Audi; A4 3.0 Quattro 4dr auto;Sedan;Europe;34480;220;18;25;3627
Audi; A6 3.0 4dr;Sedan;Europe;36640;220;20;27;3561
Audi; A6 3.0 Quattro 4dr;Sedan;Europe;39640;220;18;25;3880
Audi; A4 3.0 convertible 2dr;Sedan;Europe;42490;220;20;27;3814
Audi; A4 3.0 Quattro convertible 2dr;Sedan;Europe;44240;220;18;25;4013
Audi; A6 2.7 Turbo Quattro 4dr;Sedan;Europe;42840;250;18;25;3836
Audi; A6 4.2 Quattro 4dr;Sedan;Europe;49690;300;17;24;4024
Audi; A8 L Quattro 4dr;Sedan;Europe;69190;330;17;24;4399
Audi; S4 Quattro 4dr;Sedan;Europe;48040;340;14;20;3825
Audi; RS 6 4dr;Sports;Europe;84600;450;15;22;4024
Audi; TT 1.8 convertible 2dr (coupe);Sports;Europe;35940;180;20;28;3131
Audi; TT 1.8 Quattro 2dr (convertible);Sports;Europe;37390;225;20;28;2921
Audi; TT 3.2 coupe 2dr (convertible);Sports;Europe;40590;250;21;29;3351
Audi; A6 3.0 Avant Quattro;Wagon;Europe;40840;220;18;25;4035
Audi; S4 Avant Quattro;Wagon;Europe;49090;340;15;21;3936
BMW; X3 3.0i;SUV;Europe;37000;225;16;23;4023
BMW; X5 4.4i;SUV;Europe;52195;325;16;22;4824
BMW; 325i 4dr;Sedan;Europe;28495;184;20;29;3219
BMW; 325Ci 2dr;Sedan;Europe;30795;184;20;29;3197
BMW; 325Ci convertible 2dr;Sedan;Europe;37995;184;19;27;3560
BMW; 325xi 4dr;Sedan;Europe;30245;184;19;27;3461
BMW; 330i 4dr;Sedan;Europe;35495;225;20;30;3285
BMW; 330Ci 2dr;Sedan;Europe;36995;225;20;30;3285
BMW; 330xi 4dr;Sedan;Europe;37245;225;20;29;3483
BMW; 525i 4dr;Sedan;Europe;39995;184;19;28;3428
BMW; 330Ci convertible 2dr;Sedan;Europe;44295;225;19;28;3616
BMW; 530i 4dr;Sedan;Europe;44995;225;20;30;3472
BMW; 545iA 4dr;Sedan;Europe;54995;325;18;26;3814
BMW; 745i 4dr;Sedan;Europe;69195;325;18;26;4376
BMW; 745Li 4dr;Sedan;Europe;73195;325;18;26;4464
BMW; M3 coupe 2dr;Sports;Europe;48195;333;16;24;3415
BMW; M3 convertible 2dr;Sports;Europe;56595;333;16;23;3781
BMW; Z4 convertible 2.5i 2dr;Sports;Europe;33895;184;20;28;2932
BMW; Z4 convertible 3.0i 2dr;Sports;Europe;41045;225;21;29;2998
BMW; 325xi Sport;Wagon;Europe;32845;184;19;26;3594
Chevrolet; Suburban 1500 LT;SUV;USA;42735;295;14;18;4947
Chevrolet; Tahoe LT;SUV;USA;41465;295;14;18;5050
Chevrolet; TrailBlazer LT;SUV;USA;30295;275;16;21;4425
Chevrolet; Tracker;SUV;USA;20255;165;19;22;2866
Chevrolet; Aveo 4dr;Sedan;USA;11690;103;28;34;2370
Chevrolet; Aveo LS 4dr hatch;Sedan;USA;12585;103;28;34;2348
Chevrolet; Cavalier 2dr;Sedan;USA;14610;140;26;37;2617
Chevrolet; Cavalier 4dr;Sedan;USA;14810;140;26;37;2676
Chevrolet; Cavalier LS 2dr;Sedan;USA;16385;140;26;37;2617
Chevrolet; Impala 4dr;Sedan;USA;21900;180;21;32;3465
Chevrolet; Malibu 4dr;Sedan;USA;18995;145;24;34;3174
Chevrolet; Malibu LS 4dr;Sedan;USA;20370;200;22;30;3297
Chevrolet; Monte Carlo LS 2dr;Sedan;USA;21825;180;21;32;3340
Chevrolet; Impala LS 4dr;Sedan;USA;25000;200;20;30;3476
Chevrolet; Impala SS 4dr;Sedan;USA;27995;240;18;28;3606
Chevrolet; Malibu LT 4dr;Sedan;USA;23495;200;23;32;3315
Chevrolet; Monte Carlo SS 2dr;Sedan;USA;24225;200;18;28;3434
Chevrolet; Astro;Sedan;USA;26395;190;14;17;4605
Chevrolet; Venture LS;Sedan;USA;27020;185;19;26;3699
Chevrolet; Corvette 2dr;Sports;USA;44535;350;18;25;3246
Chevrolet; Corvette convertible 2dr;Sports;USA;51535;350;18;25;3248
Chevrolet; Avalanche 1500;Truck;USA;36100;295;14;18;5678
Chevrolet; Colorado Z85;Truck;USA;18760;175;18;23;3623
Chevrolet; Silverado 1500 Regular Cab;Truck;USA;20310;200;15;21;4142
Chevrolet; Silverado SS;Truck;USA;40340;300;13;17;4804
Chevrolet; SSR;Truck;USA;41995;300;16;19;4760
Chevrolet; Malibu Maxx LS;Wagon;USA;22225;200;22;30;3458
Ford; Excursion 6.8 XLT;SUV;USA;41475;310;10;13;7190
Ford; Expedition 4.6 XLT;SUV;USA;34560;232;15;19;5000
Ford; Explorer XLT V6;SUV;USA;29670;210;15;20;4463
Ford; Escape XLS;SUV;USA;22515;201;18;23;3346
Ford; Focus ZX3 2dr hatch;Sedan;USA;13270;130;26;33;2612
Ford; Focus LX 4dr;Sedan;USA;13730;110;27;36;2606
Ford; Focus SE 4dr;Sedan;USA;15460;130;26;33;2606
Ford; Focus ZX5 5dr;Sedan;USA;15580;130;26;33;2691
Ford; Focus SVT 2dr;Sedan;USA;19135;170;21;28;2750
Ford; Taurus LX 4dr;Sedan;USA;20320;155;20;27;3306
Ford; Taurus SES Duratec 4dr;Sedan;USA;22735;201;19;26;3313
Ford; Crown Victoria 4dr;Sedan;USA;24345;224;17;25;4057
Ford; Crown Victoria LX 4dr;Sedan;USA;27370;224;17;25;4057
Ford; Crown Victoria LX Sport 4dr;Sedan;USA;30315;239;17;25;4057
Ford; Freestar SE;Sedan;USA;26930;193;17;23;4275
Ford; Mustang 2dr (convertible);Sports;USA;18345;193;20;29;3290
Ford; Mustang GT Premium convertible 2dr;Sports;USA;29380;260;17;25;3347
Ford; Thunderbird Deluxe convert w/hardtop 2d;Sports;USA;37530;280;17;24;3780
Ford; F-150 Regular Cab XL;Truck;USA;22010;231;15;19;4788
Ford; F-150 Supercab Lariat;Truck;USA;33540;300;14;18;5464
Ford; Ranger 2.3 XL Regular Cab;Truck;USA;14385;143;24;29;3028
Ford; Focus ZTW;Wagon;USA;17475;130;26;33;2702
Ford; Taurus SE;Wagon;USA;22290;155;19;26;3497
Honda; Civic Hybrid 4dr manual (gas/electric);Hybrid;Asia;20140;93;46;51;2732
Honda; Insight 2dr (gas/electric);Hybrid;Asia;19110;73;60;66;1850
Honda; Pilot LX;SUV;Asia;27560;240;17;22;4387
Honda; CR-V LX;SUV;Asia;19860;160;21;25;3258
Honda; Element LX;SUV;Asia;18690;160;21;24;3468
Honda; Civic DX 2dr;Sedan;Asia;13270;115;32;38;2432
Honda; Civic HX 2dr;Sedan;Asia;14170;117;36;44;2500
