P14_POP;COM
767;01001
239;01002
1727;01004
3732;01004
3916;01004
4646;01004
1627;01005
109;01006
2570;01007
743;01008
338;01009
1142;01010
397;01011
325;01012
157;01013
3405;01014
638;01015
440;01016
427;01017
23;01019
1376;01021
1193;01022
66;01023
3386;01024
3177;01025
881;01026
2973;01027
585;01028
678;01029
886;01030
3656;01031
3296;01032
1291;01033
3046;01033
2696;01033
2743;01033
1969;01033
3086;01034
3580;01034
2317;01034
321;01035
549;01036
282;01037
731;01038
467;01039
477;01040
749;01041
265;01042
4541;01043
595;01044
285;01045
818;01046
972;01047
2932;01049
323;01050
88;01051
300;01052
1798;01053
1875;01053
2009;01053
2174;01053
2072;01053
1770;01053
2785;01053
3061;01053
2336;01053
2471;01053
1945;01053
2848;01053
2615;01053
2908;01053
1817;01053
1400;01053
1431;01053
3652;01053
1270;01054
370;01056
512;01057
861;01058
96;01059
549;01060
1186;01061
826;01062
514;01063
973;01064
1754;01065
71;01066
263;01067
764;01068
1466;01069
4797;01071
3068;01072
1007;01073
2408;01074
1234;01075
151;01076
185;01077
1377;01078
821;01079
669;01080
730;01081
648;01082
864;01083
780;01084
379;01085
284;01087
931;01088
1999;01089
332;01090
3311;01091
1568;01092
4956;01093
746;01094
648;01095
993;01096
219;01097
850;01098
1530;01099
139;01100
157;01101
957;01102
1459;01103
461;01104
1489;01105
173;01106
136;01107
1198;01108
2163;01109
130;01110
118;01111
416;01112
828;01113
563;01114
1326;01115
508;01116
147;01117
1236;01118
113;01121
805;01122
1089;01123
665;01124
619;01125
508;01127
291;01128
266;01129
1414;01130
384;01133
1719;01134
2086;01135
832;01136
3029;01138
451;01139
771;01140
415;01141
4441;01142
3706;01143
2215;01143
3180;01143
888;01144
1166;01145
416;01146
476;01147
1845;01148
1036;01149
222;01150
1150;01151
764;01152
2158;01153
820;01154
144;01155
781;01156
2180;01157
972;01158
3225;01159
3308;01160
2615;01160
3414;01160
65;01162
2029;01163
1515;01165
2196;01166
660;01167
583;01169
1011;01170
917;01171
147;01172
2928;01173
4707;01173
3506;01173
175;01174
842;01175
177;01177
1908;01179
786;01180
1187;01181
1423;01183
793;01184
3829;01185
87;01186
701;01187
601;01188
1144;01189
115;01190
173;01191
2294;01192
231;01193
4068;01194
2154;01194
1709;01195
1124;01196
356;01197
276;01198
2192;01199
210;01200
3069;01202
3884;01202
1191;01203
699;01204
1028;01205
262;01206
341;01207
137;01208
687;01209
238;01210
1426;01211
708;01212
1248;01213
152;01214
49;01215
884;01216
96;01218
166;01219
115;01221
3158;01224
395;01225
458;01227
639;01228
1149;01229
306;01230
1976;01231
2205;01232
130;01233
172;01234
1032;01235
987;01236
1573;01237
2482;01238
635;01239
649;01240
1310;01241
124;01242
1224;01243
2767;01244
2333;01244
2439;01244
884;01245
2137;01246
348;01247
2130;01248
2488;01249
3991;01249
2946;01249
1877;01250
779;01252
1893;01254
584;01255
343;01257
1211;01258
663;01259
272;01260
655;01261
3444;01262
3592;01262
3811;01263
1013;01264
3409;01265
2452;01266
1027;01267
253;01268
3534;01269
1494;01272
1645;01273
638;01274
2467;01275
1529;01276
119;01277
96;01279
157;01280
4303;01281
258;01282
2147;01283
2817;01283
2338;01283
2488;01283
2081;01283
2329;01283
2536;01283
18;01283
2178;01283
1975;01283
1447;01283
132;01283
659;01284
1153;01285
936;01286
2489;01288
2732;01289
3464;01289
1206;01290
796;01291
178;01293
838;01294
640;01295
396;01296
749;01297
123;01298
530;01299
2489;01301
158;01302
1681;01303
2801;01304
2290;01305
1595;01306
846;01307
818;01308
93;01309
229;01310
46;01311
7710;01313
1666;01314
160;01316
305;01317
703;01318
467;01319
3662;01320
920;01321
4490;01322
965;01323
968;01325
600;01328
146;01329
187;01330
171;01331
726;01332
3016;01333
557;01334
368;01335
1125;01336
1232;01337
1191;01338
1416;01339
159;01341
547;01342
1730;01343
5505;01344
2255;01345
890;01346
1853;01347
2799;01348
448;01349
2574;01350
1529;01351
563;01352
1632;01353
3555;01354
3248;01354
3051;01354
473;01355
219;01356
490;01357
417;01358
232;01359
1586;01360
1426;01361
784;01362
1664;01363
736;01364
1090;01365
962;01366
731;01367
760;01368
898;01369
1783;01370
1350;01371
431;01372
1088;01373
1757;01374
804;01375
3962;01376
2461;01378
744;01379
685;01380
909;01381
291;01382
1464;01383
2265;01384
984;01385
1110;01386
214;01387
1099;01388
1848;01389
1126;01390
293;01391
668;01392
514;01393
1010;01396
1048;01397
1268;01398
1923;01399
139;01400
2022;01401
699;01402
1286;01403
125;01404
1206;01405
174;01406
981;01407
694;01408
322;01410
265;01411
558;01412
73;01413
214;01414
439;01415
1050;01416
304;01417
1041;01418
6061;01419
1671;01420
732;01421
1366;01422
824;01423
1665;01424
295;01425
2549;01426
2334;01427
4368;01427
133;01428
678;01429
531;01430
1219;01431
261;01432
322;01433
397;01434
2170;01435
515;01436
246;01437
100;01439
683;01441
376;01442
4447;01443
1162;01444
664;01445
1427;01446
1260;01447
356;01448
704;01449
3429;01450
1563;01451
4687;01451
1075;01452
304;01453
1054;01454
71;01456
2922;01457
510;02001
614;02002
1013;02003
189;02004
405;02005
256;02006
119;02007
299;02008
538;02009
170;02010
1145;02011
71;02012
413;02013
741;02014
79;02015
218;02016
308;02017
1944;02018
379;02019
460;02020
85;02021
403;02022
106;02023
54;02024
366;02025
234;02027
2607;02028
373;02029
292;02030
662;02031
242;02032
108;02033
102;02034
284;02035
87;02036
1429;02037
69;02038
170;02039
178;02040
829;02041
401;02042
71;02043
27;02044
551;02046
126;02047
121;02048
739;02049
318;02050
384;02051
147;02052
558;02053
468;02054
98;02055
170;02056
1452;02057
800;02058
2695;02059
