objective;p01rcy;p02rcy;p03rcy;p04rcy;totalspend;p05spend;p05trans;p06rcy;p07rcy;p08rcy;p09rcy;p09tenure;p11rcy;p12rcy;p13rcy;p14rcy;p14tenure;p15rcy;p16spend;p16rcy;p16tenure;p16trans;p17rcy;totaltrans;acffempar;acfhuswife;acflonepar;acftotmar;acfwchcom;afem40to44;afp1child;afp2child;ahh2fam;ahh6ppers;amtenglish;amtfrench;amtmultlin;amtnengnon;amtsingres;amtspanish;amttagalog;anfamrel;bcwmpaid;bdw46to60;bdw86to91;bdwmaint;bdwmajor;bdwminor;bdwperroom;betbritish;betenglish;betfrench;betmulti;betsingle;bfi20to35;bfi50plus;bfiinca;bfiincm;bfiu20;bfps;bfpshealth;bfpshuman;bfsllabf;bfslonepar;bfslplabf;bfsmlabf;bhi20to35;bhi50plus;bhiinca;bhiincm;bhiincs;bhiu20;bhlenglish;bhlfrench;bhlnonoff;bimprovres;bimuk;bincgovp;bineflow;bineflowp;binf30plus;binf7to15;binfinca;binfincm;binfincs;binhhlow;binhhlowp;binm15to30;binm30plus;binm7to15;binmfemina;binminca;binmincm;binmincs;bknenglish;bknfren;blfmaempl;blfmaunemr;blfmtempl;blfmtunemp;blfmtunemr;blftaempl;blfttempl;blfttunemr;bmoy1intep;bmoy5intep;bmoy5intrn;bmoy5mov;bmoy5non;bmps;bmpscomm;bmpseng;bmpshealth;bmpssocial;bndtallind;bndtbusser;bndtgovser;bocffabric;bocfmanage;bocfteach;bocmmanage;bocmscieng;bpwmcsd;bpwmpop;bpwmusual;brlanglic;brlcathol;brlprotest;brlrcathol;brlunited;bsl9to13nc;bslg9;bslnunivc;bslunivdeg;bslunivnc;bslunivnd;gender1;first_month;lowincome;highincome;gender2;productcount;productcount6;tenure;tf100;tf101;tf102;tf103;tf107;tf108;tf122;tf124;tf128;tf129;tf27;tf28;tf29;tf31;tf32;tf33;tf34;tf35;tf36;tf37;tf38;tf39;tf42;tf46;tf47;tf49;tf50;tf51;tf52;tf55;tf56;tf57;tf58;tf62;tf65;tf68;tf70;tf71;tf72;tf73;tf74;tf75;tf76;tf77;tf80;tf88;tf89;tf90;tf91;tf92;tf93;tf94;tf95;tf96;tf99;gender3
positive;0,99;0,00;1,00;0,00;4012,00;0,00;0,00;0,99;0,99;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;70,00;0,13;0,88;0,13;0,72;0,03;0,04;0,09;0,00;0,00;0,00;0,82;0,03;0,03;0,01;0,97;0,01;0,00;0,02;0,38;0,00;0,63;0,82;0,03;0,15;0,30;0,27;0,17;0,03;0,27;0,73;0,09;0,61;67625,00;55951,00;0,00;0,28;0,03;0,00;0,12;0,12;0,12;0,82;0,15;0,51;59556,00;51560,00;4377,00;0,06;0,94;0,00;0,06;0,34;0,06;1,10;0,00;3,70;0,25;0,07;30885,00;29988,00;3849,00;0,18;4,80;0,09;0,29;0,03;47910,00;45478,00;35737,00;3827,00;0,87;0,00;0,31;0,00;0,37;0,03;6,70;0,66;0,78;6,20;0,05;0,15;0,23;0,84;0,13;0,27;0,05;0,04;0,02;0,04;0,83;0,14;0,02;0,00;0,08;0,06;0,07;0,10;0,34;0,37;0,35;0,09;0,20;0,42;0,20;0,16;0,14;0,02;0,18;0,25;0,07;0,17;1,00;35,00;0,00;0,00;0,00;8,00;7,00;150,00;0,08;0,05;0,89;0,00;0,23;5,30;0,17;0,34;0,02;14,00;1,00;0,27;0,18;0,11;0,10;0,10;0,04;0,00;0,00;35,00;43,00;27,00;0,44;0,27;0,15;0,21;0,16;0,06;0,10;0,06;0,38;0,21;0,17;0,21;0,02;1160,00;0,11;0,07;0,05;0,54;0,40;0,12;0,07;0,02;0,00;2,40;1,78;0,65;0,36;0,19;0,17;781,00;491,00;289,00;0,17;0,00
positive;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,04;0,96;0,04;0,89;0,02;0,02;0,02;0,02;0,02;0,02;0,89;0,01;0,01;0,01;0,99;0,00;0,00;0,01;0,18;0,00;0,31;0,84;0,05;0,13;0,30;0,45;0,34;0,04;0,33;0,66;0,23;0,36;46283,00;40991,00;0,17;0,14;0,03;0,01;0,00;0,00;0,00;0,48;0,19;0,31;41465,00;35179,00;3380,00;0,29;0,99;0,00;0,00;0,44;0,10;20,30;0,09;9,40;0,03;0,08;13654,00;9490,00;1454,00;0,35;12,50;0,14;0,15;0,06;0,00;28753,00;23615,00;2497,00;0,97;0,00;0,16;0,00;0,19;0,00;0,00;0,30;0,36;5,40;0,01;0,08;0,35;0,56;0,41;0,19;0,00;0,01;0,00;0,00;0,37;0,01;0,03;0,00;0,00;0,01;0,00;0,01;0,00;0,19;0,17;0,20;0,11;0,54;0,11;0,17;0,30;0,11;0,17;0,05;0,01;0,04;0,00;39,00;0,00;0,00;0,00;2,00;0,00;168,00;0,06;0,03;0,65;0,07;0,14;3,18;0,06;0,27;0,02;87,00;0,99;0,34;0,21;0,11;0,06;0,06;0,01;0,00;0,00;26,00;33,00;18,00;0,24;0,22;0,08;0,08;0,17;0,09;0,09;0,05;0,58;0,31;0,27;0,24;0,04;707,00;0,11;0,07;0,04;0,57;0,26;0,31;0,06;0,03;0,00;0,93;0,67;0,28;0,26;0,17;0,09;1108,00;823,00;285,00;0,13;1,00
positive;0,00;0,00;0,95;0,00;2628,00;0,00;0,00;0,00;0,00;0,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;55,00;0,05;0,95;0,05;0,91;0,01;0,04;0,02;0,02;0,01;0,04;0,96;0,01;0,01;0,01;0,99;0,00;0,00;0,01;0,26;0,00;0,24;0,81;0,00;0,16;0,50;0,23;0,19;0,02;0,62;0,38;0,06;0,73;59474,00;60746,00;0,02;0,15;0,04;0,01;0,08;0,06;0,06;0,86;0,08;0,75;60416,00;60323,00;1820,00;0,02;0,99;0,00;0,01;0,62;0,03;4,20;0,02;0,70;0,06;0,07;17789,00;13232,00;1378,00;0,04;0,90;0,05;0,23;0,01;42176,00;37171,00;40200,00;1604,00;0,94;0,00;0,24;3,60;0,27;0,01;3,20;0,43;0,48;3,50;0,01;0,08;0,27;0,44;0,44;0,19;0,03;0,00;0,00;0,01;0,51;0,05;0,06;0,01;0,02;0,02;0,04;0,03;0,07;0,27;0,26;0,12;0,17;0,62;0,17;0,23;0,11;0,01;0,19;0,08;0,05;0,09;0,00;40,00;0,00;0,00;1,00;9,00;5,00;171,00;0,06;0,03;0,85;0,04;0,19;4,84;0,09;0,35;0,01;49,00;0,98;0,31;0,17;0,11;0,09;0,10;0,03;0,01;0,00;31,00;40,00;20,00;0,36;0,26;0,12;0,19;0,14;0,06;0,08;0,08;0,46;0,23;0,23;0,26;0,02;968,00;0,14;0,08;0,05;0,37;0,19;0,18;0,09;0,03;0,00;1,18;0,76;0,42;0,34;0,20;0,14;1711,00;1169,00;542,00;0,18;0,00
positive;0,00;0,00;0,00;0,00;962,00;0,00;0,00;0,00;0,99;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,98;0,00;0,00;0,00;0,00;0,98;24,00;0,11;0,84;0,11;0,68;0,11;0,05;0,11;0,00;0,00;0,00;0,32;0,50;0,05;0,01;0,95;0,02;0,00;0,02;0,13;0,18;0,05;0,70;0,05;0,25;0,40;0,14;0,11;0,39;0,23;0,74;0,00;0,00;0,00;0,00;0,00;0,27;0,05;0,11;0,16;0,16;0,16;0,58;0,05;0,32;45078,00;18067,00;6686,00;0,57;0,50;0,39;0,06;0,67;0,05;15,60;0,25;22,30;0,12;0,29;19534,00;12317,00;2306,00;1,40;34,20;0,02;0,13;0,05;0,00;48191,00;30059,00;9299,00;0,23;0,10;0,13;0,00;0,13;0,00;0,00;0,37;0,40;8,30;0,00;0,00;0,02;0,24;0,70;0,14;0,00;0,02;0,02;0,06;0,43;0,11;0,07;0,00;0,04;0,02;0,07;0,00;0,12;0,13;0,12;0,00;0,59;0,19;0,59;0,07;0,14;0,15;0,11;0,21;0,00;0,10;0,00;25,00;0,00;0,00;1,00;7,00;4,00;107,00;0,03;0,00;0,59;0,06;0,12;2,78;0,09;0,29;0,00;0,00;1,00;0,56;0,12;0,06;0,06;0,06;0,00;0,00;0,00;26,00;37,00;18,00;0,24;0,18;0,09;0,15;0,12;0,06;0,06;0,06;0,47;0,18;0,29;0,24;0,03;630,00;0,15;0,09;0,06;0,74;0,50;0,21;0,06;0,03;0,00;1,96;1,52;0,47;0,21;0,09;0,12;241,00;141,00;99,00;0,12;0,00
positive;0,00;0,00;0,00;0,00;4574,00;0,03;0,41;0,00;0,00;0,00;0,00;0,00;0,00;0,98;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;29,00;0,10;0,88;0,12;0,79;0,03;0,04;0,06;0,03;0,01;0,03;0,77;0,08;0,03;0,02;0,97;0,00;0,00;0,03;0,27;0,15;0,18;0,71;0,06;0,22;0,42;0,23;0,16;0,08;0,38;0,61;0,15;0,46;51909,00;47206,00;0,11;0,15;0,03;0,01;0,09;0,12;0,08;0,75;0,17;0,44;50940,00;45517,00;3663,00;0,17;0,85;0,07;0,06;0,61;0,04;9,82;0,10;9,70;0,07;0,09;17808,00;14910,00;1622,00;0,43;11,70;0,09;0,17;0,05;33646,00;32514,00;29134,00;2886,00;0,83;0,03;0,23;7,07;0,28;0,02;8,18;0,42;0,50;8,61;0,02;0,06;0,20;0,49;0,43;0,17;0,03;0,01;0,01;0,01;0,54;0,03;0,04;0,00;0,03;0,02;0,05;0,02;0,15;0,28;0,25;0,10;0,32;0,44;0,32;0,15;0,19;0,07;0,14;0,11;0,05;0,09;1,00;34,00;0,00;1,00;0,00;5,00;3,00;145,00;0,05;0,02;0,79;0,05;0,14;3,96;0,09;0,32;0,00;16,00;0,98;0,36;0,18;0,11;0,07;0,06;0,02;0,01;0,00;28,00;35,00;19,00;0,33;0,26;0,12;0,13;0,16;0,08;0,08;0,08;0,46;0,22;0,23;0,22;0,03;778,00;0,10;0,05;0,04;0,46;0,22;0,23;0,05;0,02;0,00;1,32;1,02;0,31;0,29;0,17;0,12;893,00;604,00;288,00;0,16;0,00
negative;0,00;0,00;0,99;0,00;4093,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;0,94;0,10;0,02;0,99;83,00;0,08;0,92;0,08;0,85;0,08;0,02;0,00;0,00;0,00;0,00;0,91;0,00;0,00;0,00;1,00;0,00;0,00;0,02;0,28;0,13;0,00;0,75;0,00;0,13;0,40;0,09;0,09;0,04;0,64;0,36;0,00;0,00;0,00;0,00;0,00;0,11;0,00;0,00;0,00;0,00;0,00;0,80;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;0,00;0,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,97;0,00;0,26;0,00;0,26;0,00;0,00;0,45;0,45;0,00;0,00;0,04;0,41;0,39;0,47;0,17;0,00;0,00;0,00;0,00;0,47;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,24;0,19;0,11;0,49;0,34;0,45;0,06;0,17;0,04;0,17;0,04;0,00;0,00;0,00;47,00;0,00;0,00;0,00;8,00;5,00;204,00;0,05;0,01;0,81;0,06;0,18;4,23;0,06;0,25;0,00;0,00;0,95;0,38;0,18;0,10;0,06;0,06;0,02;0,00;0,00;25,00;32,00;14,00;0,29;0,25;0,12;0,13;0,19;0,11;0,07;0,08;0,37;0,21;0,17;0,20;0,02;1410,00;0,06;0,05;0,03;0,28;0,17;0,10;0,05;0,02;0,00;0,30;0,15;0,16;0,22;0,16;0,06;85,00;67,00;18,00;0,11;1,00
negative;0,00;0,00;0,00;0,00;123,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,99;8,00;0,09;0,90;0,12;0,87;0,01;0,04;0,04;0,04;0,00;0,04;0,64;0,21;0,05;0,03;0,95;0,00;0,00;0,01;0,28;0,52;0,03;0,67;0,07;0,27;0,50;0,16;0,13;0,20;0,40;0,61;0,20;0,62;56104,00;54418,00;0,08;0,14;0,03;0,01;0,06;0,10;0,04;0,73;0,19;0,60;55584,00;54425,00;2942,00;0,11;0,80;0,13;0,06;0,79;0,02;7,70;0,04;4,30;0,05;0,08;14474,00;10884,00;1307,00;0,13;3,90;0,10;0,21;0,02;44146,00;31861,00;30016,00;1923,00;0,67;0,01;0,26;0,00;0,29;0,02;5,60;0,42;0,50;4,20;0,00;0,03;0,07;0,20;0,75;0,15;0,01;0,01;0,01;0,02;0,52;0,02;0,08;0,00;0,02;0,03;0,05;0,02;0,26;0,29;0,28;0,08;0,67;0,25;0,67;0,06;0,24;0,13;0,15;0,06;0,04;0,09;1,00;31,00;1,00;0,00;0,00;1,00;1,00;134,00;0,06;0,03;0,73;0,07;0,11;3,30;0,13;0,38;0,01;10,00;0,99;0,36;0,15;0,10;0,08;0,11;0,02;0,00;0,00;28,00;35,00;19,00;0,31;0,27;0,08;0,16;0,14;0,06;0,07;0,07;0,55;0,27;0,27;0,23;0,02;1220,00;0,14;0,09;0,05;0,51;0,28;0,23;0,10;0,02;0,00;0,62;0,38;0,29;0,30;0,18;0,11;1160,00;862,00;298,00;0,16;0,00
positive;0,00;0,00;1,00;0,00;2422,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,97;0,00;0,00;0,00;0,00;0,00;105,00;0,09;0,90;0,10;0,85;0,03;0,04;0,05;0,03;0,01;0,07;0,82;0,03;0,04;0,03;0,97;0,00;0,02;0,02;0,30;0,06;0,28;0,80;0,05;0,15;0,50;0,19;0,16;0,03;0,39;0,61;0,20;0,44;48492,00;47604,00;0,07;0,09;0,03;0,01;0,09;0,11;0,06;0,84;0,22;0,41;47519,00;45968,00;2017,00;0,07;0,97;0,00;0,01;0,74;0,04;9,70;0,08;6,80;0,04;0,07;16687,00;16786,00;989,00;0,23;6,40;0,06;0,17;0,04;31259,00;27086,00;29994,00;1561,00;0,92;0,00;0,24;2,70;0,29;0,01;4,40;0,44;0,52;5,50;0,00;0,02;0,09;0,42;0,46;0,13;0,02;0,01;0,00;0,00;0,54;0,05;0,04;0,01;0,01;0,01;0,02;0,03;0,28;0,29;0,29;0,12;0,31;0,54;0,30;0,14;0,27;0,03;0,09;0,05;0,03;0,08;0,00;49,00;0,00;0,00;0,00;6,00;4,00;212,00;0,03;0,00;0,84;0,04;0,13;4,05;0,07;0,35;0,00;0,00;0,98;0,35;0,23;0,13;0,05;0,03;0,00;0,00;0,00;23,00;29,00;16,00;0,37;0,28;0,17;0,07;0,19;0,09;0,10;0,08;0,36;0,18;0,17;0,23;0,00;0,00;0,04;0,02;0,02;0,18;0,06;0,12;0,02;0,00;0,00;0,66;0,51;0,15;0,29;0,17;0,12;672,00;486,00;187,00;0,18;1,00
negative;0,00;0,00;1,00;0,00;357,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,99;33,00;0,09;0,82;0,09;0,64;0,00;0,03;0,09;0,00;0,00;0,00;0,90;0,03;0,03;0,00;0,97;0,00;0,00;0,03;0,29;0,13;0,13;0,60;0,00;0,40;0,50;0,00;0,06;0,06;0,45;0,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,20;0,00;0,70;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,94;0,00;0,16;50,00;0,19;0,16;45,50;0,32;0,48;33,30;0,00;0,00;0,45;0,58;0,35;0,10;0,00;0,00;0,00;0,00;0,65;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,06;0,19;0,19;0,00;0,00;0,77;0,06;0,61;0,35;0,26;0,10;0,00;0,00;0,00;0,00;34,00;1,00;0,00;0,00;6,00;5,00;147,00;0,04;0,01;0,81;0,05;0,15;4,03;0,05;0,23;0,01;2,00;0,96;0,44;0,21;0,09;0,04;0,04;0,00;0,00;0,00;21,00;27,00;14,00;0,28;0,27;0,14;0,06;0,19;0,12;0,08;0,08;0,37;0,19;0,18;0,18;0,03;1610,00;0,06;0,04;0,03;0,19;0,10;0,10;0,04;0,01;0,00;0,90;0,62;0,28;0,22;0,14;0,08;50,00;36,00;14,00;0,12;1,00
negative;0,00;0,00;1,00;0,00;543,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,04;0,89;0,07;0,78;0,00;0,04;0,00;0,04;0,03;0,03;0,69;0,01;0,03;0,02;0,98;0,01;0,00;0,03;0,32;0,14;0,44;0,81;0,06;0,14;0,40;0,22;0,13;0,00;0,43;0,60;0,13;0,50;49757,00;45812,00;0,17;0,13;0,02;0,00;0,00;0,00;0,00;0,92;0,19;0,41;51737,00;40244,00;6272,00;0,22;0,86;0,00;0,14;0,62;0,02;7,60;0,25;24,80;0,07;0,14;16877,00;13959,00;2150,00;0,79;24,10;0,10;0,20;0,04;0,00;35118,00;32907,00;4742,00;0,96;0,00;0,27;7,40;0,30;0,05;15,60;0,48;0,58;10,20;0,04;0,12;0,26;0,65;0,34;0,19;0,07;0,02;0,00;0,00;0,65;0,10;0,02;0,00;0,00;0,02;0,00;0,00;0,09;0,31;0,24;0,07;0,10;0,53;0,10;0,19;0,21;0,08;0,12;0,12;0,02;0,07;1,00;49,00;0,00;1,00;0,00;3,00;1,00;211,00;0,03;0,03;0,81;0,03;0,16;4,31;0,08;0,27;0,00;0,00;1,00;0,35;0,19;0,14;0,08;0,05;0,00;0,00;0,00;27,00;35,00;20,00;0,35;0,19;0,14;0,14;0,14;0,08;0,05;0,05;0,46;0,22;0,24;0,22;0,03;0,00;0,03;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;1,75;1,43;0,55;0,30;0,16;0,11;340,00;252,00;88,00;0,16;0,00
